Species,CollectionNumber,Collector,ddRAD all,ddRAD 1/sp,TC,Provenance,Collection Date,Latitude,Longitude,State
Leptosiphon aureus,IGA107_1,Ioana Anghel,,,x,field,4/13/19,32.760355,-116.282215,CA
Leptosiphon aureus,IGA135_5,Ioana Anghel,x,,,field,5/15/19,35.704394,-117.906721,CA
Leptosiphon breviculus,IGA163_1,Ioana Anghel,,,x,field,6/18/19,34.220475,-116.621512,CA
Leptosiphon crysanthus,SS140,Steven Serkanic,,,x,field,4/29/17,36.567778,-118.120833,CA
Leptosiphon lemmonii,IGA107_2,Ioana Anghel,x,,,field,4/13/19,32.760355,-116.282215,CA
Leptosiphon nuttallii,IGA159_1,Ioana Anghel,x,,x,field,6/13/19,37.630829,-118.654094,CA
Linanthus arenicola,Andre24385,Jim André,x,,x,RSA,3/21/13,34.068183,-114.674433,CA
Linanthus arenicola,Andre29751,Jim André,x,,x,RSA,4/7/14,34.810350,-116.520310,CA
Linanthus arenicola,Andre29794,Jim André,x,,,RSA,4/23/14,36.540510,-117.934460,CA
Linanthus arenicola,Andre38220,Jim André,x,,,RSA,4/15/17,34.882333,-115.734170,CA
Linanthus arenicola,IGA139_9,Ioana Anghel,x,,x,field,5/16/19,36.805929,-118.102514,CA
Linanthus arenicola,Tiehm16064,Arnold Tiehm,x,x,,UNR,5/25/10,39.792610,-118.856780,NV
Linanthus arenicola,York2819,Dana York,x,,,CAS,5/1/03,36.747778,-117.567500,CA
Linanthus bellus,IGA108_1,Ioana Anghel,x,,,field,4/13/19,32.702413,-116.255899,CA
Linanthus bellus,IGA110_3,Ioana Anghel,x,,x,field,4/13/19,32.760296,-116.281664,CA
Linanthus bellus,IGA113_4,Ioana Anghel,x,,x,field,4/14/19,32.794601,-116.329675,CA
Linanthus bellus,Makings5031,Liz Makings,x,x,,ASU,3/6/17,29.769140,-114.785890,MX
Linanthus bellus,Moran27497,Reid Moran,x,,,SD,5/28/79,32.200000,-116.004170,MX
Linanthus bellus,Prigge4800_2,Barry Prigge,x,,,UCLA,5/15/83,30.966667,-115.633333,MX
Linanthus bellus,Thorne60487,Robert F. Thorne,x,,x,RSA,5/7/85,32.451600,-116.038500,MX
Linanthus bernardinus,Bell12648A_1,Duncan S. Bell,x,,,RSA,5/15/19,34.152970,-116.539310,CA
Linanthus bernardinus,Bell2352,Duncan S. Bell,x,x,x,RSA,4/23/11,34.135390,-116.510690,CA
Linanthus bernardinus,IGA124_2,Ioana Anghel,x,,x,field,4/29/19,34.148890,-116.453060,CA
Linanthus bigelovii,Andre36432,Jim André,x,,,RSA,4/7/16,35.333217,-115.559950,CA
Linanthus bigelovii,Atwood26498,N.D. Atwood,x,,,UNR,3/24/01,36.357600,-113.926000,AZ
Linanthus bigelovii,DeGroot4917,Sarah J. J. De Groot,x,,x,RSA,4/24/05,32.397222,-110.511389,AZ
Linanthus bigelovii,DeGroot5748,Sarah J. J. De Groot,x,,x,RSA,4/11/08,31.315383,-115.501633,MX
Linanthus bigelovii,Felger10-189,Richard Felger,x,,,RSA,3/28/10,32.317464,-114.056528,AZ
Linanthus bigelovii,IGA111_1,Ioana Anghel,x,,,field,4/13/19,32.760296,-116.281664,CA
Linanthus bigelovii,IGA133_6,Ioana Anghel,x,,,field,5/10/19,34.338514,-117.396712,CA
Linanthus bigelovii,Porter11811,J. Mark Porter,x,,x,RSA,4/26/98,36.531667,-118.063333,CA
Linanthus bigelovii,Porter14418,J. Mark Porter,x,,,RSA,5/27/05,34.815733,-119.008917,CA
Linanthus bigelovii,Reina2003-228,A. L. Reina,x,x,,ASU,3/9/03,30.805560,-111.258300,MX
Linanthus bigelovii,Tiehm17685,Arnold Tiehm,x,,,RSA,4/22/17,37.291967,-114.618083,NV
Linanthus bigelovii,Tiehm18669,Arnold Tiehm,x,,,UNR,5/14/20,37.226120,-117.282150,NV
Linanthus caespitosus,Baker17406,Marc A. Baker,x,x,x,ASU,7/21/11,39.280600,-114.972300,NV
Linanthus caespitosus,Baker17423,Marc A. Baker,x,,x,ASU,7/23/11,37.672200,-112.201400,UT
Linanthus californicus,Boyd11829,Steve Boyd,x,,,RSA,3/20/08,33.595361,-117.330389,CA
Linanthus californicus,Burgess10795,R. Burgess,x,,,SBBG,4/24/18,34.311570,-118.714880,CA
Linanthus californicus,Freund117,Forrest D. Freund,x,,,SD,3/19/13,35.432000,-120.537200,CA
Linanthus californicus,IGA146_2,Ioana Anghel,x,,x,field,5/23/19,34.219143,-116.622432,CA
Linanthus californicus,IGA172_4,Ioana Anghel,,,x,field,7/9/19,34.269143,-116.768424,CA
Linanthus californicus,IGA211_1,Ioana Anghel,x,,,field,7/23/20,34.434616,-119.553609,CA
Linanthus californicus,IGA213_1,Ioana Anghel,x,,,field,7/23/20,34.742169,-120.053363,CA
Linanthus californicus,IGA214_1,Ioana Anghel,x,,,field,7/23/20,34.707753,-120.433679,CA
Linanthus californicus,IGA215_1,Ioana Anghel,x,,,field,8/2/20,34.125701,-118.633987,CA
Linanthus californicus,Wilken16226,Dieter H. Wilken,x,x,x,SBBG,4/26/05,35.035360,-120.600120,CA
Linanthus campanulatus,Andre36837,Jim André,x,,x,RSA,5/11/16,37.442350,-115.455517,NV
Linanthus campanulatus,IGA154_8,Ioana Anghel,,,x,field,6/12/19,37.330101,-118.043894,CA
Linanthus campanulatus,IGA155_4,Ioana Anghel,x,,,field,6/12/19,37.471110,-117.846390,CA
Linanthus campanulatus,IGA156_3,Ioana Anghel,x,,,field,6/13/19,38.424019,-118.088344,NV
Linanthus campanulatus,IGA156_7,Ioana Anghel,,,x,field,6/13/19,38.424019,-118.088344,NV
Linanthus campanulatus,Johnson11-021,Leigh A. Johnson,x,x,,BRY,4/29/11,37.046930,-114.841230,NV
Linanthus campanulatus,Tiehm11611,Arnold Tiehm,x,,,UNR,5/13/88,38.148400,-117.970800,NV
Linanthus campanulatus,Tiehm16063,Arnold Tiehm,x,,,UNR,5/25/10,39.792600,-118.856783,NV
